id,created_at,favorite_count,retweet_count
838476387338051585,Sun Mar 05 19:48:43 +0000 2017,23135,4920
838201503651401729,Sun Mar 05 01:36:26 +0000 2017,0,10340
838150277551247360,Sat Mar 04 22:12:52 +0000 2017,1715,340
838085839343206401,Sat Mar 04 17:56:49 +0000 2017,145,1
838083903487373313,Sat Mar 04 17:49:08 +0000 2017,18067,3235
837820167694528512,Sat Mar 04 00:21:08 +0000 2017,35027,8089
837482249356513284,Fri Mar 03 01:58:22 +0000 2017,3930,451
837471256429613056,Fri Mar 03 01:14:41 +0000 2017,13118,2338
837110210464448512,Thu Mar 02 01:20:01 +0000 2017,16451,2442
836989968035819520,Wed Mar 01 17:22:13 +0000 2017,13052,2350
836753516572119041,Wed Mar 01 01:42:39 +0000 2017,19786,4779
836677758902222849,Tue Feb 28 20:41:37 +0000 2017,12937,2281
836648853927522308,Tue Feb 28 18:46:45 +0000 2017,0,564
836397794269200385,Tue Feb 28 02:09:08 +0000 2017,0,28424
836380477523124226,Tue Feb 28 01:00:19 +0000 2017,15147,3069
836260088725786625,Mon Feb 27 17:01:56 +0000 2017,21845,4418
836001077879255040,Sun Feb 26 23:52:43 +0000 2017,19594,4390
835685285446955009,Sun Feb 26 02:57:52 +0000 2017,0,8391
835574547218894849,Sat Feb 25 19:37:50 +0000 2017,18262,3722
835536468978302976,Sat Feb 25 17:06:32 +0000 2017,0,1753
835309094223372289,Sat Feb 25 02:03:02 +0000 2017,0,21683
835297930240217089,Sat Feb 25 01:18:40 +0000 2017,16895,3096
835264098648616962,Fri Feb 24 23:04:14 +0000 2017,7936,1753
835246439529840640,Fri Feb 24 21:54:03 +0000 2017,2158,73
835172783151792128,Fri Feb 24 17:01:22 +0000 2017,26856,5938
835152434251116546,Fri Feb 24 15:40:31 +0000 2017,23073,3119
834931633769889797,Fri Feb 24 01:03:08 +0000 2017,11122,1702
834786237630337024,Thu Feb 23 15:25:23 +0000 2017,21841,5644
834574053763584002,Thu Feb 23 01:22:14 +0000 2017,14051,2618
834477809192075265,Wed Feb 22 18:59:48 +0000 2017,0,11020
834458053273591808,Wed Feb 22 17:41:18 +0000 2017,9888,1735
834209720923721728,Wed Feb 22 01:14:30 +0000 2017,21194,4914
834167344700198914,Tue Feb 21 22:26:07 +0000 2017,16231,3770
